"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2025-01-03,2,15,NZD,0.5444844
2025-01-02,2,15,NZD,0.5434192
2025-01-01,2,15,NZD,0.5396072
2025-01-06,2,15,NZD,0.5448404
2025-01-05,2,15,NZD,0.5444844
2025-01-04,2,15,NZD,0.5444844
2025-01-09,2,15,NZD,0.5429766
2025-01-08,2,15,NZD,0.5439809
2025-01-07,2,15,NZD,0.5459409
2025-01-10,2,15,NZD,0.5418879
2025-01-11,2,15,NZD,0.5418879
2025-01-12,2,15,NZD,0.5418879
2025-01-13,2,15,NZD,0.5418879
2025-01-14,2,15,NZD,0.5457324
2025-01-15,2,15,NZD,0.5440400
2025-01-16,2,15,NZD,0.5440400
2025-01-17,2,15,NZD,0.5424464
2025-01-18,2,15,NZD,0.5424464
2025-01-19,2,15,NZD,0.5424464
2025-01-20,2,15,NZD,0.5424464
2025-01-21,2,15,NZD,0.5433011
2025-01-22,2,15,NZD,0.5438625
2025-01-23,2,15,NZD,0.5441585
2025-01-24,2,15,NZD,0.5445437
2025-01-25,2,15,NZD,0.5445437
2025-01-26,2,15,NZD,0.5445437
2025-01-27,2,15,NZD,0.5415945
2025-01-28,2,15,NZD,0.5423288
2025-01-29,2,15,NZD,0.5427114
2025-01-30,2,15,NZD,0.5427114
2025-01-31,2,15,NZD,0.5437442
2025-02-01,2,15,NZD,0.5437442
2025-02-02,2,15,NZD,0.5437442
2025-02-03,2,15,NZD,0.5427703
2025-02-04,2,15,NZD,0.5429471
2025-02-05,2,15,NZD,0.5458217
2025-02-06,2,15,NZD,0.5458217
2025-02-07,2,15,NZD,0.5468366
2025-02-08,2,15,NZD,0.5468366
2025-02-09,2,15,NZD,0.5468366
2025-02-10,2,15,NZD,0.5468366
2025-02-11,2,15,NZD,0.5469263
2025-02-12,2,15,NZD,0.5437442
2025-02-13,2,15,NZD,0.5437442
2025-02-14,2,15,NZD,0.5448997
2025-02-15,2,15,NZD,0.5448997
2025-02-16,2,15,NZD,0.5448997
2025-02-17,2,15,NZD,0.5448997
2025-02-18,2,15,NZD,0.5453157
2025-02-19,2,15,NZD,0.5478852
2025-02-20,2,15,NZD,0.5478852
2025-02-21,2,15,NZD,0.5498735
2025-02-22,2,15,NZD,0.5498735
2025-02-23,2,15,NZD,0.5498735
2025-02-24,2,15,NZD,0.5498735
2025-02-25,2,15,NZD,0.5453455
2025-02-26,2,15,NZD,0.5429176
2025-02-27,2,15,NZD,0.5424759
2025-02-28,2,15,NZD,0.5382421
2025-03-01,2,15,NZD,0.5382421
2025-03-02,2,15,NZD,0.5382421
2025-03-03,2,15,NZD,0.5356473
2025-03-04,2,15,NZD,0.5341880
2025-03-05,2,15,NZD,0.5310110
2025-03-06,2,15,NZD,0.5316321
2025-03-07,2,15,NZD,0.5259836
2025-03-08,2,15,NZD,0.5259836
2025-03-09,2,15,NZD,0.5259836
2025-03-10,2,15,NZD,0.5286250
2025-03-11,2,15,NZD,0.5227392
2025-03-12,2,15,NZD,0.5247691
2025-03-13,2,15,NZD,0.5247691
2025-03-14,2,15,NZD,0.5267316
2025-03-15,2,15,NZD,0.5267316
2025-03-16,2,15,NZD,0.5267316
2025-03-17,2,15,NZD,0.5315473
2025-03-18,2,15,NZD,0.5325664
2025-03-19,2,15,NZD,0.5310110
2025-03-20,2,15,NZD,0.5310110
2025-03-21,2,15,NZD,0.5313214
2025-03-22,2,15,NZD,0.5313214
2025-03-23,2,15,NZD,0.5313214
2025-03-24,2,15,NZD,0.5288767
2025-03-25,2,15,NZD,0.5309547
2025-03-26,2,15,NZD,0.5333618
2025-03-27,2,15,NZD,0.5333618
2025-03-28,2,15,NZD,0.5306447
2025-03-29,2,15,NZD,0.5306447
2025-03-30,2,15,NZD,0.5306447
2025-03-31,2,15,NZD,0.5253480
2025-04-01,2,15,NZD,0.5262881
2025-04-02,2,15,NZD,0.5313214
2025-04-03,2,15,NZD,0.5313214
2025-04-04,2,15,NZD,0.5098659
2025-04-05,2,15,NZD,0.5098659
2025-04-06,2,15,NZD,0.5098659
2025-04-07,2,15,NZD,0.5088800
2025-04-08,2,15,NZD,0.5119279
2025-04-09,2,15,NZD,0.5030687
2025-04-10,2,15,NZD,0.5030687
2025-04-11,2,15,NZD,0.5108296
2025-04-12,2,15,NZD,0.5108296
2025-04-13,2,15,NZD,0.5108296
2025-04-14,2,15,NZD,0.5108296
2025-04-15,2,15,NZD,0.5234506
2025-04-16,2,15,NZD,0.5208333
2025-04-17,2,15,NZD,0.5230673
2025-04-18,2,15,NZD,0.5230673
2025-04-19,2,15,NZD,0.5230673
2025-04-20,2,15,NZD,0.5230673
2025-04-21,2,15,NZD,0.5230673
2025-04-22,2,15,NZD,0.5224387
2025-04-23,2,15,NZD,0.5245764
2025-04-24,2,15,NZD,0.5255966
2025-04-25,2,15,NZD,0.5245764
2025-04-26,2,15,NZD,0.5245764
2025-04-27,2,15,NZD,0.5245764
2025-04-28,2,15,NZD,0.5237247
2025-04-29,2,15,NZD,0.5233958
2025-04-30,2,15,NZD,0.5203184
2025-05-01,2,15,NZD,0.5203184
2025-05-02,2,15,NZD,0.5241640
2025-05-03,2,15,NZD,0.5241640
2025-05-04,2,15,NZD,0.5241640
2025-05-05,2,15,NZD,0.5277602
2025-05-06,2,15,NZD,0.5284016
2025-05-07,2,15,NZD,0.5268982
2025-05-08,2,15,NZD,0.5245214
2025-05-09,2,15,NZD,0.5236973
2025-05-10,2,15,NZD,0.5236973
2025-05-11,2,15,NZD,0.5236973
2025-05-12,2,15,NZD,0.5290445
2025-05-13,2,15,NZD,0.5302789
2025-05-14,2,15,NZD,0.5299698
2025-05-15,2,15,NZD,0.5252929
2025-05-16,2,15,NZD,0.5266761
2025-05-17,2,15,NZD,0.5266761
2025-05-18,2,15,NZD,0.5266761
2025-05-19,2,15,NZD,0.5249895
2025-05-27,2,15,NZD,0.5283737
2025-05-26,2,15,NZD,0.5283737
2025-05-25,2,15,NZD,0.5259836
2025-05-24,2,15,NZD,0.5259836
2025-05-23,2,15,NZD,0.5259836
2025-05-22,2,15,NZD,0.5222750
2025-05-21,2,15,NZD,0.5244664
2025-05-20,2,15,NZD,0.5253480
