"CasinoProviderId","CasinoProviderName"
15,Viaden
21,MicroGaming
21,GamesGlobal
30,Evolution
40,ScientificGames
60,NetEnt
70,PlayTech
80,Iforium
100,Edict
110,Nyx
110,LightAndWonder
120,PlayNGo
130,RedTiger
140,Skywind
150,PragmaticPlay
160,Oryx
170,Betixon
180,EveryMatrix
190,EvolutionDirect
200,Fazi
220,Greentube
230,Galaxsys
240,Amusnet
250,Netgaming
260,ESA
260,ESAGaming
270,InspiredGaming
280,PushGaming
290,EGT
290,EGTGaming
300,Jogo
310,TheEar
320,Octoplay
330,ZeusPlay
340,Pariplay
350,IGT
370,RelaxGaming
380,Yggdrasil
